index,conference_name,acronym,rank,url
11.0,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A*,https://portal.core.edu.au/conf-ranks/11/
12.0,ACM Conference on Computer and Communications Security,CCS,A*,https://portal.core.edu.au/conf-ranks/12/
13.0,ACM Conference on Computer Supported Cooperative Work,CSCW,A,https://portal.core.edu.au/conf-ranks/13/
14.0,ACM Conference on Economics and Computation,EC,A*,https://portal.core.edu.au/conf-ranks/14/
15.0,ACM Conference on Embedded Networked Sensor Systems,SENSYS,A*,https://portal.core.edu.au/conf-ranks/15/
17.0,ACM Conference on Hypertext and Social Media,Hypertext,A,https://portal.core.edu.au/conf-ranks/17/
18.0,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A,https://portal.core.edu.au/conf-ranks/18/
19.0,ACM Creativity and Cognition,CC,A,https://portal.core.edu.au/conf-ranks/19/
22.0,ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,A,https://portal.core.edu.au/conf-ranks/22/
24.0,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A,https://portal.core.edu.au/conf-ranks/24/
25.0,ACM International Conference on Information and Knowledge Management,CIKM,A,https://portal.core.edu.au/conf-ranks/25/
26.0,ACM International Conference on Knowledge Discovery and Data Mining,KDD,A*,https://portal.core.edu.au/conf-ranks/26/
27.0,ACM International Conference on Mobile Computing and Networking,MOBICOM,A*,https://portal.core.edu.au/conf-ranks/27/
28.0,ACM International Conference on Recommender Systems,RecSys,A,https://portal.core.edu.au/conf-ranks/28/
29.0,ACM International Conference on Research and Development in Information Retrieval,SIGIR,A*,https://portal.core.edu.au/conf-ranks/29/
30.0,ACM International Conference on Supercomputing,ICS,A,https://portal.core.edu.au/conf-ranks/30/
31.0,ACM International Conference on Web Search and Data Mining,WSDM,A,https://portal.core.edu.au/conf-ranks/31/
32.0,ACM International Symposium on Computer Architecture,ISCA,A*,https://portal.core.edu.au/conf-ranks/32/
33.0,ACM International Symposium on High Performance Distributed Computing,HPDC,A,https://portal.core.edu.au/conf-ranks/33/
37.0,ACM Multimedia,ACMMM,A*,https://portal.core.edu.au/conf-ranks/37/
38.0,ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,A*,https://portal.core.edu.au/conf-ranks/38/
39.0,Measurement and Modeling of Computer Systems,SIGMETRICS,A*,https://portal.core.edu.au/conf-ranks/39/
