index,conference_name,acronym,rank,url
1.0,1st International Conference on Building Energy and Environment,COBEE,,https://portal.core.edu.au/conf-ranks/1/
2.0,1st International Conference on Engineering Management,ICEM,,https://portal.core.edu.au/conf-ranks/2/
3.0,2008 International Conference on Biomedical Robotics and Biomechatronics,BIO ROB,B,https://portal.core.edu.au/conf-ranks/3/
4.0,3-D Digital Imaging and Modelling,3DIM,C,https://portal.core.edu.au/conf-ranks/4/
5.0,A Satellite workshop on Formal Approaches to Testing of Software,FATES,C,https://portal.core.edu.au/conf-ranks/5/
6.0,AAEE - Annual Conference of Australasian Association for Engineering Education,,B,https://portal.core.edu.au/conf-ranks/6/
7.0,Accelerating excellence in the built environment World Conference,WCAEBE,C,https://portal.core.edu.au/conf-ranks/7/
8.0,Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,Australasian,https://portal.core.edu.au/conf-ranks/8/
9.0,"ACIS Conference on Software Engineering Research, Management and Applications",SERA,C,https://portal.core.edu.au/conf-ranks/9/
10.0,ACM Annual Computer Science Conference,CSC,C,https://portal.core.edu.au/conf-ranks/10/
11.0,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A*,https://portal.core.edu.au/conf-ranks/11/
12.0,ACM Conference on Computer and Communications Security,CCS,A*,https://portal.core.edu.au/conf-ranks/12/
13.0,ACM Conference on Computer Supported Cooperative Work,CSCW,A,https://portal.core.edu.au/conf-ranks/13/
14.0,ACM Conference on Economics and Computation,EC,A*,https://portal.core.edu.au/conf-ranks/14/
15.0,ACM Conference on Embedded Networked Sensor Systems,SENSYS,A*,https://portal.core.edu.au/conf-ranks/15/
16.0,ACM Conference on Embedded Software,EMSOFT,Journal published,https://portal.core.edu.au/conf-ranks/16/
17.0,ACM Conference on Hypertext and Social Media,Hypertext,A,https://portal.core.edu.au/conf-ranks/17/
18.0,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A,https://portal.core.edu.au/conf-ranks/18/
19.0,ACM Creativity and Cognition,CC,A,https://portal.core.edu.au/conf-ranks/19/
20.0,ACM Digital Rights Management Workshop,DRM,C,https://portal.core.edu.au/conf-ranks/20/
21.0,ACM Information Technology Education,SIGITE,National: USA,https://portal.core.edu.au/conf-ranks/21/
22.0,ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,A,https://portal.core.edu.au/conf-ranks/22/
23.0,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,C,https://portal.core.edu.au/conf-ranks/23/
24.0,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A,https://portal.core.edu.au/conf-ranks/24/
25.0,ACM International Conference on Information and Knowledge Management,CIKM,A,https://portal.core.edu.au/conf-ranks/25/
26.0,ACM International Conference on Knowledge Discovery and Data Mining,KDD,A*,https://portal.core.edu.au/conf-ranks/26/
27.0,ACM International Conference on Mobile Computing and Networking,MOBICOM,A*,https://portal.core.edu.au/conf-ranks/27/
28.0,ACM International Conference on Recommender Systems,RecSys,A,https://portal.core.edu.au/conf-ranks/28/
29.0,ACM International Conference on Research and Development in Information Retrieval,SIGIR,A*,https://portal.core.edu.au/conf-ranks/29/
30.0,ACM International Conference on Supercomputing,ICS,A,https://portal.core.edu.au/conf-ranks/30/
31.0,ACM International Conference on Web Search and Data Mining,WSDM,A,https://portal.core.edu.au/conf-ranks/31/
32.0,ACM International Symposium on Computer Architecture,ISCA,A*,https://portal.core.edu.au/conf-ranks/32/
33.0,ACM International Symposium on High Performance Distributed Computing,HPDC,A,https://portal.core.edu.au/conf-ranks/33/
34.0,ACM International Wireless Communications and Mobile Computing Conference,IWCMC,B,https://portal.core.edu.au/conf-ranks/34/
35.0,ACM International Workshop On Multimedia Databases,MMDB,C,https://portal.core.edu.au/conf-ranks/35/
36.0,ACM International Workshop on. Mobility Management and Wireless Access,MobiWac,B,https://portal.core.edu.au/conf-ranks/36/
37.0,ACM Multimedia,ACMMM,A*,https://portal.core.edu.au/conf-ranks/37/
38.0,ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,A*,https://portal.core.edu.au/conf-ranks/38/
39.0,Measurement and Modeling of Computer Systems,SIGMETRICS,A*,https://portal.core.edu.au/conf-ranks/39/
40.0,ACM SIGCHI_NZ Conference on Human-Computer Interaction,SIGCHI-NZ,Australasian,https://portal.core.edu.au/conf-ranks/40/
41.0,ACM SIGCOMM Internet Measurement Conference,ACM IMC,A,https://portal.core.edu.au/conf-ranks/41/
42.0,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,B,https://portal.core.edu.au/conf-ranks/42/
43.0,ACM SIGIR Workshop on XML and Information Retrieval,SIGIR/XML,C,https://portal.core.edu.au/conf-ranks/43/
44.0,International Conference on Multimedia Retrieval (previously MIR),ICMR,B,https://portal.core.edu.au/conf-ranks/44/
45.0,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,A,https://portal.core.edu.au/conf-ranks/45/
46.0,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,A*,https://portal.core.edu.au/conf-ranks/46/
47.0,ACM SIGOPS European Workshops,SIGOPS-EW,C,https://portal.core.edu.au/conf-ranks/47/
48.0,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,A*,https://portal.core.edu.au/conf-ranks/48/
49.0,"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",LCTES,B,https://portal.core.edu.au/conf-ranks/49/
50.0,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,C,https://portal.core.edu.au/conf-ranks/50/
51.0,ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC),TLDI,C,https://portal.core.edu.au/conf-ranks/51/
52.0,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,A*,https://portal.core.edu.au/conf-ranks/52/
53.0,ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,PASTE,B,https://portal.core.edu.au/conf-ranks/53/
54.0,ACM SIGUCCS Conference on User Services,SIGUCCS,National: USA,https://portal.core.edu.au/conf-ranks/54/
55.0,ACM Special Interest Group on Computer Science Education Conference,SIGCSE,A,https://portal.core.edu.au/conf-ranks/55/
56.0,ACM Special Interest Group on Management of Data Conference,SIGMOD,A*,https://portal.core.edu.au/conf-ranks/56/
57.0,ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,B,https://portal.core.edu.au/conf-ranks/57/
58.0,ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,A,https://portal.core.edu.au/conf-ranks/58/
59.0,ACM Symposium on Applied Computing,SAC,Multiconference,https://portal.core.edu.au/conf-ranks/59/
60.0,International Symposium on Computational Geometry,SoCG,A,https://portal.core.edu.au/conf-ranks/60/
61.0,"Asia Conference on Information, Computer and Communications Security",AsiaCCS,A,https://portal.core.edu.au/conf-ranks/61/
62.0,ACM Symposium on Principles of Database Systems,SPDS,C,https://portal.core.edu.au/conf-ranks/62/
63.0,ACM Symposium on Principles of Distributed Computing,PODC,A*,https://portal.core.edu.au/conf-ranks/63/
64.0,ACM Symposium on Solid and Physical Modelling,SPM,C,https://portal.core.edu.au/conf-ranks/64/
65.0,ACM Symposium on Theory of Computing,STOC,A*,https://portal.core.edu.au/conf-ranks/65/
66.0,ACM Symposium on User Interface Software and Technology,UIST,A*,https://portal.core.edu.au/conf-ranks/66/
67.0,ACM Virtual Reality Software and Technology,VRST,A,https://portal.core.edu.au/conf-ranks/67/
68.0,ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,FMSE,C,https://portal.core.edu.au/conf-ranks/68/
69.0,ACM Workshop on Hot Topics in Networks,HOTNETS,National: USA,https://portal.core.edu.au/conf-ranks/69/
70.0,ACM Workshop on Hot Topics in Software Upgrades,HotSWUp,C,https://portal.core.edu.au/conf-ranks/70/
71.0,ACM Workshop on Role Based Access Control (now SACMAT),RBAC,C,https://portal.core.edu.au/conf-ranks/71/
72.0,ACM Workshop on Scalable Trusted Computing,STC,B,https://portal.core.edu.au/conf-ranks/72/
73.0,ACM Workshop on Secure Web Services,SWS,C,https://portal.core.edu.au/conf-ranks/73/
74.0,ACM Workshop on Web Information and Data Management,WIDM,B,https://portal.core.edu.au/conf-ranks/74/
75.0,ACM/IEEE International Conference on Distributed Smart Cameras,ICDSC,B,https://portal.core.edu.au/conf-ranks/75/
76.0,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,A,https://portal.core.edu.au/conf-ranks/76/
77.0,"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,A,https://portal.core.edu.au/conf-ranks/77/
78.0,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,B,https://portal.core.edu.au/conf-ranks/78/
79.0,ACM/IFIP/USENIX International Middleware Conference,Middleware,A,https://portal.core.edu.au/conf-ranks/79/
80.0,ACM/SIAM Symposium on Discrete Algorithms,SODA,A*,https://portal.core.edu.au/conf-ranks/80/
