conference_name,year,acronym,rank
aclweb.org___ACL___ARR___2021___November___v1,2021,ACL,A*
icaps-conference.org___ICAPS___2019___Workshop___WIPC___v1,2019,ICAPS,A*
ICML.cc___2024___Workshop___HiLD___v2,2024,ICML,A*
NeurIPS.cc___2023___Workshop___WANT___v2,2023,NeurIPS,A*
ICLR.cc___2022___Workshop___MLDD___v1,2022,ICLR,A*
ICLR.cc___2022___Workshop___PAIR2Struct___v1,2022,ICLR,A*
ICML.cc___2020___Workshop___Artemiss___v1,2020,ICML,A*
roboticsfoundation.org___RSS___2017___RCW_Workshop___-_Proceedings___v1,2017,RSS,TBR
MIDL.io___2022___Conference___v1,2022,404,not-icore
aclweb.org___NAACL___2022___Workshop___DLG4NLP___v1,2022,NAACL,A
ecmlpkdd.org___ECMLPKDD___2022___Workshop___MLG___v1,2022,404,not-icore
IEEE.org___IROS___2024___Workshop___BoB___v2,2024,IROS,A
ICLR.cc___2019___Conference___v1,2019,ICLR,A*
IEEE.org___ISIT___2024___Workshop___LCW___v2,2024,ISIT,B
NeurIPS.cc___2021___Workshop___LatinX_in_AI___v1,2021,NeurIPS,A*
thecvf.com___CVPR___2024___Workshop___CORR___v2,2024,CVPR,A*
acmmm.org___ACMMM___2024___Conference___v2,2024,ACMMM,A*
NeurIPS.cc___2023___Workshop___RegML___v2,2023,NeurIPS,A*
KDD.org___2024___Workshop___DL4KG___v2,2024,KDD,A*
ICML.cc___2021___Workshop___URL___v1,2021,ICML,A*
NeurIPS.cc___2023___Workshop___AMHN___v2,2023,NeurIPS,A*
AAAI.org___2024___Workshop___PubLLM___v2,2024,AAAI,A*
thecvf.com___ECCV___2024___Workshop___W-CODA___v2,2024,ECCV,A*
aclweb.org___NAACL___2022___Conference___v1,2022,NAACL,A
NeurIPS.cc___2021___Workshop___PRIML___v1,2021,NeurIPS,A*
NLDL.org___2024___Conference___v2,2024,404,not-icore
graphicsinterface.org___Graphics_Interface___2024___Conference_SD___v2,2024,404,not-icore
logconference.io___LOG___2023___Conference___v2,2023,404,not-icore
KDD.org___2023___Workshop___FL4Data-Mining___v1,2023,KDD,A*
colmweb.org___COLM___2024___Conference___v2,2024,404,not-icore
graphicsinterface.org___Graphics_Interface___2022___Conference___v1,2022,404,not-icore
AAAI.org___2023___Spring_Symposium_Series___EDGeS___v1,2023,AAAI,A*
robot-learning.org___CoRL___2024___Workshop___LFDM___v2,2024,CoRL,Unranked
NeurIPS.cc___2022___Workshop___TS4H___v1,2022,NeurIPS,A*
ICLR.cc___2019___Workshop___LLD___v1,2019,ICLR,A*
icaps-conference.org___ICAPS___2019___Workshop___XAIP___v1,2019,ICAPS,A*
NeurIPS.cc___2019___Workshop___Neuro_AI___v1,2019,NeurIPS,A*
ACM.org___TheWebConf___2025___Conference___v2,2025,404,not-icore
NeurIPS.cc___2024___Workshop___MATH-AI___v2,2024,NeurIPS,A*
icaps-conference.org___ICAPS___2021___Workshop___XAIP___v1,2021,ICAPS,A*
ICLR.cc___2022___Workshop___Cells2Societies___v1,2022,ICLR,A*
roboticsfoundation.org___RSS___2024___Workshop___GAS___v2,2024,RSS,TBR
DeepLearningIndaba.com___2023___Conference___v2,2023,404,not-icore
IEEE.org___2024___ICRA___Workshop___MoMa___v2,2024,ICRA,A*
cclear.cc___CLeaR___2022___Conference___v1,2022,404,not-icore
ICLR.cc___2024___Workshop___SeT_LLM___v2,2024,ICLR,A*
L4DC.org___2020___Conference___v1,2020,404,not-icore
AAAI.org___2023___Spring_Symposium_Series___ACTD___v1,2023,AAAI,A*
ML_Reproducibility_Challenge___2021___Fall___v1,2021,404,not-icore
NeurIPS.cc___2023___Workshop___TGL___v2,2023,NeurIPS,A*
ecmlpkdd.org___ECMLPKDD___2021___Workshop___TeachML___v1,2021,404,not-icore
NeurIPS.cc___2021___Workshop___DGMs_Applications___v1,2021,NeurIPS,A*
ACM.org___IVA___2020___Workshop___GENEA___v1,2020,IVA,B
EWRL___2023___Workshop___v1,2023,404,not-icore
SEMANTiCS.cc___2024___Workshop___NXDG___v2,2024,404,not-icore
KDD.org___2023___Workshop___Fragile_Earth___v2,2023,KDD,A*
AKBC.ws___2021___Workshop___ArgKG___v1,2021,404,not-icore
aclweb.org___NAACL___2022___Workshop___LXNLP_Regular_Deadline___v1,2022,NAACL,A
NeurIPS.cc___2021___Workshop___DistShift___v1,2021,NeurIPS,A*
